v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,target
53,blue-collar,married,secondary,no,732,yes,no,unknown,7,may,530,2,-1,0,unknown,0
36,management,married,tertiary,no,753,no,no,cellular,26,may,71,5,40,4,failure,0
57,retired,married,secondary,no,1841,no,no,cellular,18,dec,127,2,196,1,success,0
27,technician,single,secondary,no,2,yes,yes,cellular,6,may,554,2,356,1,failure,1
49,management,single,tertiary,no,7443,no,no,telephone,20,nov,35,2,-1,0,unknown,0
45,blue-collar,married,primary,no,665,no,no,unknown,9,jun,183,2,-1,0,unknown,0
38,blue-collar,married,primary,no,0,yes,no,cellular,31,jul,18,22,-1,0,unknown,0
58,management,married,tertiary,no,591,yes,no,cellular,30,jul,233,3,-1,0,unknown,0
33,blue-collar,single,secondary,no,56,yes,no,cellular,29,jan,290,4,-1,0,unknown,0
36,technician,married,secondary,no,300,no,no,unknown,9,jun,287,1,-1,0,unknown,0
37,blue-collar,married,secondary,no,14,yes,no,cellular,31,jul,38,18,-1,0,unknown,0
50,blue-collar,divorced,secondary,no,41,yes,no,unknown,6,may,190,1,-1,0,unknown,0
31,admin.,married,secondary,no,0,yes,yes,cellular,18,nov,79,3,-1,0,unknown,0
36,management,married,tertiary,no,806,yes,no,unknown,20,may,280,1,-1,0,unknown,0
48,services,married,secondary,no,109,no,yes,cellular,20,aug,113,4,-1,0,unknown,0
32,technician,divorced,secondary,no,3345,yes,no,cellular,6,may,118,1,260,3,failure,0
37,technician,single,tertiary,no,1894,yes,no,cellular,12,may,1925,1,351,7,other,0
46,entrepreneur,single,tertiary,no,77,yes,yes,unknown,6,jun,520,3,-1,0,unknown,0
51,technician,married,secondary,no,614,no,no,cellular,17,nov,85,2,-1,0,unknown,0
33,technician,single,tertiary,no,81,no,no,cellular,18,jul,287,1,-1,0,unknown,0
48,technician,married,secondary,no,425,yes,no,unknown,4,jun,357,4,-1,0,unknown,0
29,self-employed,single,tertiary,no,-114,yes,no,unknown,13,may,174,1,-1,0,unknown,0
40,blue-collar,married,secondary,no,440,yes,no,unknown,5,jun,327,2,-1,0,unknown,0
25,blue-collar,single,tertiary,no,1395,yes,no,cellular,15,may,268,1,-1,0,unknown,0
51,services,married,secondary,no,2248,yes,no,unknown,5,may,714,2,-1,0,unknown,0
41,self-employed,married,secondary,no,634,yes,no,cellular,16,jul,239,2,-1,0,unknown,0
55,entrepreneur,divorced,tertiary,no,461,yes,yes,unknown,16,jun,267,3,-1,0,unknown,0
23,student,single,secondary,no,794,no,no,cellular,26,jul,607,3,171,3,other,1
29,self-employed,single,tertiary,no,7752,no,no,cellular,3,jun,180,1,-1,0,unknown,0
45,technician,married,secondary,no,1477,yes,no,cellular,17,nov,75,1,132,1,failure,0
50,technician,married,secondary,no,-353,yes,yes,cellular,18,nov,162,1,175,2,failure,0
48,services,married,secondary,no,2877,yes,no,cellular,18,nov,77,1,168,1,failure,0
40,services,divorced,primary,no,1937,yes,no,unknown,2,jun,86,1,-1,0,unknown,0
39,entrepreneur,married,tertiary,no,6495,no,no,unknown,19,jun,280,3,-1,0,unknown,0
27,management,married,tertiary,no,802,no,no,cellular,22,sep,569,1,-1,0,unknown,1
37,blue-collar,married,secondary,yes,-399,yes,yes,unknown,3,jun,21,3,-1,0,unknown,0
37,management,married,tertiary,no,539,no,no,cellular,18,jan,540,2,115,3,failure,0
46,blue-collar,married,primary,no,1204,yes,no,cellular,8,apr,139,2,-1,0,unknown,0
51,blue-collar,married,secondary,no,1329,yes,yes,telephone,17,apr,150,2,287,2,failure,0
49,housemaid,married,primary,no,889,no,no,telephone,7,jul,388,1,-1,0,unknown,1
58,admin.,single,secondary,no,2223,no,no,cellular,4,dec,1139,2,114,1,success,0
48,management,single,tertiary,no,399,no,yes,cellular,7,aug,126,1,-1,0,unknown,0
53,housemaid,married,tertiary,no,2353,yes,no,cellular,23,jul,471,2,-1,0,unknown,0
66,management,married,secondary,no,587,no,no,cellular,12,may,457,2,392,2,success,1
36,management,married,tertiary,no,274,no,no,cellular,13,aug,122,2,-1,0,unknown,0
43,unknown,single,tertiary,no,2731,no,no,cellular,21,nov,11,7,-1,0,unknown,0
31,technician,married,tertiary,no,2951,yes,no,cellular,17,jul,115,1,-1,0,unknown,0
45,technician,single,secondary,no,586,no,yes,cellular,28,jul,32,3,-1,0,unknown,0
49,technician,married,secondary,no,0,no,yes,cellular,8,jul,120,3,-1,0,unknown,0
35,blue-collar,single,unknown,no,871,yes,no,cellular,6,feb,117,1,245,3,failure,0
51,blue-collar,married,primary,no,1126,yes,no,cellular,17,apr,326,3,-1,0,unknown,0
53,retired,married,primary,no,0,no,no,cellular,30,jul,123,1,-1,0,unknown,0
40,management,married,tertiary,no,2935,yes,no,cellular,18,aug,192,2,-1,0,unknown,0
49,technician,married,secondary,no,905,no,no,cellular,21,dec,385,7,131,2,failure,0
34,unemployed,married,tertiary,no,10,no,no,cellular,22,aug,71,5,-1,0,unknown,0
23,management,single,tertiary,no,736,yes,no,cellular,30,apr,119,1,-1,0,unknown,0
60,management,married,tertiary,no,371,no,yes,cellular,11,aug,102,8,-1,0,unknown,0
48,admin.,divorced,secondary,no,0,yes,yes,cellular,26,mar,94,1,-1,0,unknown,0
30,blue-collar,single,secondary,no,1073,yes,no,cellular,5,may,1130,4,-1,0,unknown,0
38,technician,single,secondary,no,42,yes,no,unknown,7,may,195,2,-1,0,unknown,0
37,admin.,married,secondary,no,-498,yes,yes,unknown,26,may,175,1,-1,0,unknown,0
30,management,single,tertiary,no,536,no,no,cellular,15,oct,244,1,105,1,success,1
22,student,single,secondary,no,249,no,no,unknown,5,sep,11,1,-1,0,unknown,0
43,unemployed,married,secondary,no,0,yes,no,unknown,6,may,245,1,-1,0,unknown,0
38,technician,married,secondary,no,497,no,no,unknown,14,apr,173,1,-1,0,unknown,1
37,admin.,married,secondary,no,525,yes,no,unknown,23,may,425,1,-1,0,unknown,0
25,blue-collar,single,secondary,no,913,yes,no,cellular,7,jul,113,4,-1,0,unknown,0
44,technician,married,secondary,no,0,no,no,unknown,2,jun,302,1,-1,0,unknown,0
30,management,single,secondary,no,2785,no,yes,cellular,17,nov,548,1,-1,0,unknown,0
27,admin.,married,secondary,no,-247,yes,yes,unknown,4,jun,344,2,-1,0,unknown,0
35,management,married,tertiary,no,131,yes,no,cellular,19,nov,248,1,-1,0,unknown,0
37,blue-collar,single,primary,no,851,yes,no,cellular,15,may,151,1,352,1,failure,0
61,retired,married,primary,no,1515,yes,no,cellular,15,apr,253,2,-1,0,unknown,0
41,management,married,tertiary,no,557,yes,yes,cellular,12,aug,148,4,-1,0,unknown,0
34,entrepreneur,married,tertiary,no,355,yes,no,unknown,16,may,261,1,-1,0,unknown,0
37,blue-collar,single,primary,no,5473,no,yes,unknown,9,jun,198,2,-1,0,unknown,0
26,admin.,single,secondary,no,-14,no,no,cellular,31,jul,9,31,-1,0,unknown,0
35,blue-collar,married,primary,no,229,yes,no,unknown,7,may,103,3,-1,0,unknown,0
61,retired,married,primary,no,1720,no,no,cellular,12,nov,150,1,463,5,failure,0
31,student,single,unknown,no,376,no,no,cellular,16,nov,202,1,96,2,other,0
55,management,married,tertiary,no,1161,yes,no,cellular,20,nov,8,6,-1,0,unknown,0
36,blue-collar,married,primary,no,21,no,no,telephone,20,nov,35,1,-1,0,unknown,0
33,technician,married,secondary,no,1026,no,no,cellular,4,aug,87,1,1,5,failure,0
32,management,single,tertiary,no,7444,yes,yes,cellular,13,may,22,1,370,1,failure,0
71,retired,divorced,tertiary,no,261,no,no,cellular,12,aug,1117,2,-1,0,unknown,0
50,management,married,primary,no,15035,yes,no,cellular,12,may,158,1,-1,0,unknown,0
38,admin.,married,secondary,no,0,yes,no,cellular,8,sep,210,1,92,3,success,1
41,management,single,tertiary,no,416,yes,no,cellular,12,aug,1476,2,-1,0,unknown,0
45,admin.,married,secondary,no,362,no,no,cellular,12,aug,536,4,-1,0,unknown,0
32,admin.,married,secondary,no,344,yes,yes,cellular,11,aug,255,15,-1,0,unknown,0
55,management,single,tertiary,no,1097,no,no,telephone,18,aug,199,2,-1,0,unknown,0
39,blue-collar,married,primary,no,315,yes,no,cellular,15,may,259,3,353,3,failure,0
38,admin.,married,secondary,no,70,no,yes,unknown,2,jul,199,1,-1,0,unknown,0
53,management,married,tertiary,no,1348,no,yes,cellular,17,jul,120,3,-1,0,unknown,0
49,technician,divorced,secondary,no,342,no,yes,cellular,19,nov,58,3,-1,0,unknown,0
38,management,married,tertiary,no,358,no,no,cellular,29,jan,151,2,-1,0,unknown,0
30,management,single,tertiary,no,9634,no,no,cellular,21,nov,402,4,101,5,failure,0
38,technician,married,secondary,no,1696,no,no,cellular,20,nov,267,2,-1,0,unknown,0
37,management,married,tertiary,no,40,no,no,cellular,27,aug,1033,4,-1,0,unknown,1
60,retired,married,tertiary,no,1141,no,no,cellular,12,aug,66,4,-1,0,unknown,0
45,management,single,tertiary,no,1411,no,no,cellular,28,may,142,3,-1,0,unknown,0
46,services,married,secondary,no,1474,yes,no,unknown,12,may,148,3,-1,0,unknown,0
32,technician,single,secondary,no,-472,yes,yes,cellular,18,may,121,2,-1,0,unknown,0
33,services,married,secondary,no,-384,yes,no,cellular,9,jul,125,1,-1,0,unknown,0
29,admin.,married,secondary,no,73,yes,no,cellular,16,jul,252,2,-1,0,unknown,0
56,blue-collar,married,secondary,no,316,yes,no,unknown,19,may,27,1,-1,0,unknown,0
50,blue-collar,married,secondary,no,1329,yes,yes,telephone,4,jul,141,2,-1,0,unknown,0
59,technician,divorced,secondary,no,330,no,no,cellular,27,aug,27,5,-1,0,unknown,0
50,management,married,tertiary,no,4374,yes,no,cellular,21,nov,163,2,113,3,failure,0
48,management,married,secondary,no,36686,no,no,cellular,30,apr,295,1,-1,0,unknown,0
39,blue-collar,single,primary,no,1790,yes,no,unknown,4,jun,229,6,-1,0,unknown,0
54,management,married,tertiary,no,1598,no,yes,cellular,21,jul,312,1,-1,0,unknown,0
32,management,married,tertiary,no,1196,yes,no,cellular,11,jul,508,1,-1,0,unknown,0
36,technician,divorced,secondary,no,515,yes,yes,cellular,8,may,104,4,252,3,failure,0
38,technician,married,secondary,no,976,yes,no,cellular,18,may,32,8,308,3,success,0
39,management,married,tertiary,no,151,yes,no,unknown,21,may,692,1,-1,0,unknown,0
44,blue-collar,married,secondary,no,233,no,yes,cellular,9,jul,150,3,-1,0,unknown,0
32,unemployed,single,secondary,no,71,no,no,cellular,28,jan,233,1,-1,0,unknown,0
32,management,single,tertiary,no,1131,yes,no,unknown,20,may,267,2,-1,0,unknown,0
50,admin.,married,secondary,no,1431,no,no,cellular,20,aug,112,4,-1,0,unknown,0
52,blue-collar,married,primary,no,1141,yes,no,cellular,12,may,22,5,-1,0,unknown,0
44,management,divorced,tertiary,no,2422,yes,no,cellular,21,jul,141,2,-1,0,unknown,0
45,unemployed,single,secondary,no,33,no,no,cellular,5,feb,437,1,-1,0,unknown,0
44,blue-collar,married,primary,no,185,yes,no,unknown,8,may,249,1,-1,0,unknown,0
55,self-employed,divorced,secondary,no,0,no,no,cellular,29,jul,94,2,-1,0,unknown,0
38,services,married,secondary,no,311,no,yes,cellular,25,jul,114,12,-1,0,unknown,0
37,admin.,married,secondary,no,764,yes,no,cellular,16,jul,108,5,-1,0,unknown,0
38,services,married,secondary,no,1,no,yes,cellular,21,nov,152,2,-1,0,unknown,0
39,entrepreneur,married,tertiary,no,338,yes,no,unknown,9,may,107,4,-1,0,unknown,0
45,technician,married,primary,no,-63,yes,no,cellular,20,apr,847,5,-1,0,unknown,0
34,self-employed,married,tertiary,no,870,no,no,cellular,10,jul,58,1,-1,0,unknown,0
22,blue-collar,married,secondary,no,391,yes,yes,unknown,28,may,72,18,-1,0,unknown,0
67,retired,married,tertiary,no,2812,no,no,cellular,6,aug,190,1,-1,0,unknown,0
30,management,single,tertiary,no,-672,no,no,cellular,12,aug,130,2,-1,0,unknown,0
57,technician,married,secondary,no,93,no,no,unknown,9,jun,82,2,-1,0,unknown,0
49,management,married,tertiary,no,0,no,no,cellular,9,jul,87,1,-1,0,unknown,0
31,technician,married,tertiary,no,3382,no,no,cellular,30,apr,739,1,-1,0,unknown,1
37,technician,single,secondary,no,2544,yes,no,unknown,30,may,120,3,-1,0,unknown,0
36,admin.,divorced,secondary,no,131,yes,no,unknown,6,may,153,1,-1,0,unknown,0
54,management,married,tertiary,no,8295,no,no,cellular,2,oct,849,2,119,1,success,1
58,technician,married,primary,yes,-247,no,no,unknown,6,jun,179,1,-1,0,unknown,0
40,services,married,secondary,no,1938,no,no,unknown,29,may,37,1,-1,0,unknown,0
26,technician,single,tertiary,no,-67,yes,no,cellular,15,may,637,1,-1,0,unknown,1
31,management,married,tertiary,no,302,yes,yes,cellular,4,feb,181,1,257,1,failure,0
35,self-employed,single,tertiary,no,5462,no,no,cellular,2,nov,188,1,186,1,success,1
59,retired,divorced,primary,no,-110,no,yes,unknown,4,jul,195,1,-1,0,unknown,0
55,management,married,tertiary,no,2960,yes,no,cellular,31,aug,81,1,98,11,other,0
36,technician,married,secondary,no,-179,yes,no,cellular,18,nov,476,2,124,1,failure,0
32,management,single,tertiary,no,3050,yes,no,cellular,21,nov,58,1,182,1,failure,0
31,blue-collar,married,secondary,no,-190,yes,yes,cellular,8,may,299,3,-1,0,unknown,0
38,technician,married,secondary,no,710,yes,no,cellular,17,apr,196,1,346,3,failure,0
38,management,married,tertiary,no,1952,no,yes,cellular,23,jul,237,1,-1,0,unknown,0
32,management,single,tertiary,no,752,yes,no,cellular,15,jul,256,5,-1,0,unknown,0
38,blue-collar,married,secondary,no,20,yes,no,unknown,6,may,402,1,-1,0,unknown,0
59,unemployed,married,secondary,no,1047,no,no,cellular,21,aug,438,1,184,3,success,1
32,services,single,secondary,no,441,no,yes,cellular,25,jul,135,2,-1,0,unknown,0
34,blue-collar,married,secondary,no,0,yes,yes,cellular,5,feb,293,6,-1,0,unknown,0
44,blue-collar,married,primary,no,-298,yes,no,cellular,6,may,296,1,-1,0,unknown,0
44,blue-collar,married,secondary,no,337,yes,no,telephone,28,jul,257,3,-1,0,unknown,0
26,student,single,secondary,no,4613,no,no,cellular,28,may,663,3,196,2,other,1
45,blue-collar,married,secondary,no,10252,no,no,cellular,4,may,675,2,-1,0,unknown,1
36,technician,single,secondary,no,2151,yes,no,cellular,13,may,134,1,370,1,failure,0
31,management,married,tertiary,no,35,yes,yes,cellular,19,nov,323,2,-1,0,unknown,0
47,blue-collar,married,secondary,no,581,yes,no,cellular,26,aug,79,6,-1,0,unknown,0
57,unemployed,married,secondary,no,7357,no,no,cellular,5,feb,604,1,-1,0,unknown,0
36,management,married,tertiary,no,531,yes,no,unknown,17,jun,187,2,-1,0,unknown,0
49,management,married,tertiary,no,666,yes,no,cellular,12,may,337,1,309,6,failure,0
35,management,single,tertiary,no,657,yes,no,cellular,23,jul,547,2,-1,0,unknown,0
57,management,married,primary,no,595,no,no,unknown,9,jun,188,2,-1,0,unknown,0
49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,0
33,services,married,secondary,no,0,yes,yes,cellular,7,apr,487,1,-1,0,unknown,0
32,services,single,secondary,no,951,no,no,cellular,28,jan,77,1,-1,0,unknown,0
53,admin.,divorced,secondary,no,0,yes,no,cellular,5,may,246,1,344,1,failure,0
28,technician,married,secondary,no,916,yes,no,cellular,15,may,191,1,371,2,other,0
53,technician,single,secondary,no,0,no,no,cellular,4,aug,134,2,-1,0,unknown,0
49,blue-collar,married,primary,no,6429,no,no,cellular,19,nov,108,1,-1,0,unknown,0
35,admin.,single,secondary,no,-32,no,yes,cellular,9,feb,63,4,182,5,failure,1
29,management,single,tertiary,no,36252,yes,no,cellular,30,apr,501,1,-1,0,unknown,1
47,blue-collar,married,primary,no,1610,yes,no,unknown,12,jun,68,1,-1,0,unknown,0
48,admin.,divorced,secondary,no,341,no,yes,cellular,5,feb,382,4,-1,0,unknown,0
39,management,married,tertiary,no,0,no,no,cellular,29,aug,94,2,-1,0,unknown,0
36,technician,single,secondary,no,1832,yes,no,unknown,8,may,154,1,-1,0,unknown,0
52,entrepreneur,married,primary,no,1998,no,no,telephone,1,jun,153,1,-1,0,unknown,0
24,admin.,single,secondary,no,1295,no,no,cellular,22,jul,355,2,92,1,success,1
44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,3,-1,0,unknown,1
36,management,married,tertiary,no,114,no,no,cellular,13,aug,342,1,-1,0,unknown,0
27,admin.,married,secondary,no,436,yes,no,cellular,21,jul,410,1,-1,0,unknown,0
43,services,married,secondary,no,43,yes,no,cellular,18,may,199,1,-1,0,unknown,0
36,technician,married,tertiary,no,98,no,no,cellular,4,feb,146,1,-1,0,unknown,0
41,blue-collar,married,primary,no,2770,yes,yes,unknown,5,jun,191,2,-1,0,unknown,0
45,admin.,divorced,secondary,no,984,yes,no,unknown,8,may,298,5,-1,0,unknown,0
27,housemaid,married,secondary,no,4848,yes,yes,telephone,23,jul,82,3,-1,0,unknown,0
27,unemployed,single,tertiary,no,77,no,no,cellular,12,jul,305,4,77,1,success,0
36,entrepreneur,married,tertiary,no,99,yes,yes,cellular,20,apr,393,3,-1,0,unknown,0
42,blue-collar,married,primary,no,574,yes,no,cellular,6,apr,357,2,327,2,failure,0
20,student,single,secondary,no,210,no,no,cellular,14,aug,101,1,-1,0,unknown,0
31,student,single,tertiary,no,2030,yes,no,cellular,14,may,168,2,351,2,failure,0
42,services,single,secondary,no,2628,yes,no,cellular,19,nov,146,1,-1,0,unknown,0
42,management,divorced,tertiary,no,0,no,no,cellular,1,jun,450,1,196,1,failure,0
37,technician,married,unknown,no,189,no,no,cellular,16,jun,162,2,-1,0,unknown,1
36,admin.,single,secondary,no,0,no,no,cellular,4,feb,137,2,-1,0,unknown,0
35,technician,married,tertiary,no,16,yes,no,cellular,5,may,43,5,-1,0,unknown,0
46,blue-collar,married,secondary,no,190,no,yes,cellular,10,jul,154,1,-1,0,unknown,0
56,housemaid,married,unknown,no,1780,no,no,cellular,11,aug,111,2,-1,0,unknown,0
30,management,single,tertiary,no,720,no,no,cellular,15,jan,1265,4,210,4,other,1
44,admin.,divorced,secondary,no,449,yes,yes,unknown,28,may,195,4,-1,0,unknown,0
32,technician,married,tertiary,no,463,yes,no,unknown,13,may,128,2,-1,0,unknown,0
53,management,married,tertiary,no,6525,yes,no,unknown,2,jun,73,3,-1,0,unknown,0
36,blue-collar,married,secondary,no,512,yes,no,unknown,16,may,343,1,-1,0,unknown,0
44,unemployed,single,tertiary,no,810,no,no,cellular,4,aug,184,1,-1,0,unknown,0
54,blue-collar,married,secondary,no,153,no,no,unknown,20,jun,7,12,-1,0,unknown,0
30,services,divorced,secondary,no,704,yes,no,cellular,25,jul,524,10,-1,0,unknown,0
47,self-employed,married,tertiary,no,1245,no,no,cellular,26,aug,17,15,-1,0,unknown,0
44,management,married,secondary,no,2984,yes,no,unknown,15,may,770,2,-1,0,unknown,0
43,management,single,secondary,no,1063,yes,no,cellular,5,feb,141,3,-1,0,unknown,0
47,unemployed,married,secondary,no,955,yes,no,unknown,13,may,47,1,-1,0,unknown,0
49,services,married,secondary,no,3169,no,no,unknown,9,jun,626,1,-1,0,unknown,0
35,blue-collar,married,primary,no,1116,yes,no,unknown,12,jun,124,1,-1,0,unknown,0
54,blue-collar,married,primary,no,428,yes,no,cellular,8,may,311,1,-1,0,unknown,0
32,blue-collar,single,secondary,no,413,yes,no,cellular,19,nov,270,1,-1,0,unknown,0
44,blue-collar,married,primary,no,976,yes,no,cellular,11,may,164,2,-1,0,unknown,0
29,blue-collar,married,secondary,no,2,yes,no,cellular,22,jul,96,1,-1,0,unknown,0
37,services,single,secondary,no,608,no,no,cellular,14,may,380,3,-1,0,unknown,0
29,management,single,tertiary,no,10436,no,no,unknown,27,may,103,2,-1,0,unknown,0
30,technician,single,tertiary,no,6683,no,no,cellular,30,jan,180,1,-1,0,unknown,0
39,technician,married,tertiary,no,209,no,no,unknown,23,jul,36,2,-1,0,unknown,0
31,admin.,single,secondary,no,92,yes,no,cellular,7,jul,401,2,-1,0,unknown,0
35,management,married,tertiary,no,43,no,no,cellular,11,aug,917,4,-1,0,unknown,1
36,management,divorced,secondary,no,47,no,no,unknown,19,jun,159,1,-1,0,unknown,0
44,management,married,tertiary,no,1451,yes,no,cellular,17,nov,157,3,150,12,failure,0
48,admin.,married,secondary,no,0,no,yes,cellular,11,oct,195,1,104,5,failure,0
27,admin.,single,secondary,no,292,yes,no,cellular,12,may,53,9,362,8,other,0
48,housemaid,married,secondary,no,513,no,yes,cellular,28,jul,939,3,-1,0,unknown,1
41,services,divorced,secondary,no,97,no,no,cellular,30,jul,244,3,-1,0,unknown,0
71,retired,married,primary,no,2600,no,no,cellular,13,nov,186,2,98,1,success,1
45,admin.,married,secondary,no,740,no,yes,cellular,19,aug,109,2,-1,0,unknown,0
54,technician,single,secondary,no,99,yes,no,unknown,7,may,283,3,-1,0,unknown,0
31,management,married,secondary,no,1064,no,no,telephone,20,nov,60,1,-1,0,unknown,0
50,blue-collar,married,primary,no,65,yes,no,telephone,12,may,11,1,-1,0,unknown,0
30,technician,single,tertiary,no,411,no,no,cellular,22,oct,127,3,149,2,failure,1
50,blue-collar,married,primary,no,12519,yes,no,cellular,21,nov,615,3,34,1,failure,1
35,admin.,divorced,secondary,no,951,yes,no,cellular,16,apr,567,2,-1,0,unknown,0
31,blue-collar,married,secondary,no,41,yes,no,unknown,19,may,265,1,-1,0,unknown,0
28,blue-collar,single,primary,no,1518,yes,no,cellular,15,may,204,3,359,3,failure,0
41,technician,married,secondary,no,0,no,no,unknown,2,jun,157,3,-1,0,unknown,0
32,self-employed,married,secondary,no,67,no,no,cellular,5,aug,153,1,-1,0,unknown,0
49,housemaid,married,primary,no,360,no,no,unknown,30,jun,6,1,-1,0,unknown,0
43,retired,married,primary,no,471,no,yes,unknown,15,may,114,2,-1,0,unknown,0
53,admin.,married,secondary,no,1228,yes,yes,cellular,8,feb,116,2,188,1,success,0
37,blue-collar,married,secondary,no,903,yes,no,cellular,20,apr,124,1,-1,0,unknown,0
32,blue-collar,married,secondary,no,0,yes,no,cellular,9,feb,7,7,-1,0,unknown,0
38,blue-collar,married,secondary,no,452,yes,no,cellular,9,feb,69,4,-1,0,unknown,0
35,services,married,secondary,no,2179,no,no,cellular,20,apr,207,1,-1,0,unknown,0
32,blue-collar,single,primary,no,2829,yes,no,cellular,5,may,26,1,-1,0,unknown,0
