medinc,houseage,averooms,avebedrms,population,aveoccup,latitude,longitude,target
1.6111,15.0,4.252032520325203,1.146341463414634,1123.0,3.043360433604336,33.94,-117.24,1.139
2.9653,28.0,6.5546875,1.2578125,666.0,2.6015625,33.6,-114.65,0.949
3.2135,4.0,5.764026402640264,1.0041254125412542,2801.0,2.311056105610561,34.91,-120.42,2.127
2.6091,21.0,3.7839541547277937,1.1369627507163325,5546.0,3.1782234957020057,33.9,-118.33,1.639
4.0878,36.0,5.051798561151079,0.9553956834532374,2965.0,4.266187050359712,34.25,-119.15,1.868
9.2175,35.0,6.268733850129199,0.9276485788113695,937.0,2.4211886304909562,33.62,-117.91,5.00001
2.6506,14.0,4.813486370157819,0.9971305595408895,1350.0,1.9368723098995695,36.92,-121.74,1.646
3.2898,49.0,4.293216630196937,0.9518599562363238,1329.0,2.9080962800875274,34.17,-118.13,2.0
3.2024,40.0,5.373068432671082,1.0529801324503312,1646.0,3.6335540838852096,33.93,-118.3,1.28
3.1194,33.0,4.195991091314031,1.0623608017817372,1518.0,3.3808463251670378,33.98,-118.35,1.528
2.9773,37.0,4.43125,1.1104166666666666,2021.0,4.210416666666666,33.96,-118.2,1.646
3.9063,52.0,4.569696969696969,1.0606060606060606,447.0,2.709090909090909,37.76,-122.18,0.938
1.9667,44.0,4.866197183098592,1.091549295774648,613.0,4.316901408450704,34.04,-118.17,1.339
1.6632,27.0,4.864457831325301,1.069277108433735,1380.0,4.156626506024097,35.35,-118.99,0.498
3.2216,48.0,4.853403141361256,0.9424083769633508,1126.0,2.9476439790575917,34.19,-118.15,1.616
2.625,23.0,4.728888888888889,0.9822222222222222,1047.0,2.3266666666666667,36.8,-119.72,0.715
3.5073,42.0,4.251351351351351,1.0405405405405406,1859.0,2.5121621621621624,33.85,-118.32,2.348
5.5983,24.0,7.266816143497758,1.0336322869955157,1567.0,3.513452914798206,34.27,-118.75,2.333
2.4414,21.0,4.795148247978437,1.0754716981132075,1446.0,3.8975741239892185,36.86,-120.51,0.719
4.32,29.0,4.788643533123029,0.9842271293375394,1086.0,3.4258675078864353,33.76,-117.98,1.969
5.0758,35.0,6.378,1.054,1727.0,3.454,34.05,-117.91,2.111
4.3333,31.0,4.8384279475982535,1.039301310043668,1151.0,5.026200873362446,34.01,-118.09,1.495
6.8075,18.0,7.454436450839329,1.0287769784172662,2703.0,3.241007194244604,34.17,-118.75,3.259
3.6895,14.0,5.316441441441442,1.125,2648.0,2.981981981981982,37.12,-121.65,2.393
3.9063,32.0,5.404109589041096,0.9726027397260274,836.0,2.863013698630137,37.64,-122.09,1.842
1.6429,46.0,3.8341625207296848,1.0364842454394694,1552.0,2.57379767827529,34.03,-118.33,1.25
1.8971,41.0,5.261333333333333,1.064,1107.0,2.952,36.76,-119.82,0.669
7.736,21.0,7.0,1.0469208211143695,913.0,2.6774193548387095,37.11,-121.95,3.977
3.6037,5.0,3.5841836734693877,1.3137755102040816,725.0,1.8494897959183674,37.78,-122.39,1.875
1.7344,35.0,4.4491525423728815,1.0677966101694916,918.0,3.889830508474576,33.93,-118.35,1.469
2.5833,26.0,5.05511811023622,0.9409448818897638,820.0,3.2283464566929134,36.9,-119.98,0.623
2.5096,33.0,4.559322033898305,0.940677966101695,656.0,2.7796610169491527,40.78,-124.18,0.722
15.0001,52.0,9.20496894409938,1.062111801242236,531.0,3.298136645962733,34.07,-118.33,5.00001
3.5455,34.0,5.637614678899083,0.9862385321100917,1035.0,4.747706422018348,33.84,-117.95,1.8
0.9722,10.0,2.6923076923076925,1.0769230769230769,125.0,3.2051282051282053,37.8,-122.27,1.375
1.7079,10.0,4.748449345279118,1.1729841488628532,3141.0,2.1647139903514816,33.76,-116.95,0.959
3.5987,19.0,6.167259786476868,1.0782918149466192,911.0,3.2419928825622777,36.57,-119.59,1.317
1.8426,40.0,4.926900584795321,1.0029239766081872,949.0,2.7748538011695905,37.76,-122.17,0.948
2.5143,52.0,4.971938775510204,1.1020408163265305,767.0,1.9566326530612246,34.05,-117.19,1.176
7.7234,10.0,8.016901408450705,1.019718309859155,1221.0,3.4394366197183097,34.13,-117.67,3.041
2.3558,18.0,11.209523809523809,2.1333333333333333,181.0,1.723809523809524,38.99,-122.7,1.347
3.7198,13.0,5.692156862745098,1.0,1844.0,3.615686274509804,34.13,-117.38,1.129
2.8125,42.0,4.402985074626866,0.9589552238805971,877.0,3.2723880597014925,37.77,-122.18,0.973
7.4947,4.0,7.311042590094431,1.054345731354789,16122.0,3.1069570244748506,33.89,-117.74,3.663
4.2396,48.0,5.62962962962963,1.0522875816993464,1118.0,2.4357298474945535,34.17,-118.33,2.451
3.375,42.0,5.095541401273885,1.0907643312101911,1668.0,2.656050955414013,34.14,-118.07,2.604
3.1739,52.0,3.985276073619632,1.0466257668711656,1819.0,2.2319018404907975,33.78,-118.16,2.229
3.3431,20.0,6.383720930232558,1.172093023255814,1421.0,3.3046511627906976,39.32,-123.11,1.375
4.6053,6.0,6.132550335570469,1.0033557046979866,1993.0,3.3439597315436242,37.66,-121.06,1.501
3.3687,45.0,5.594174757281554,0.9980582524271845,1470.0,2.854368932038835,34.0,-117.38,1.238
2.189,40.0,5.217582417582418,1.098901098901099,1772.0,3.8945054945054944,34.07,-117.19,0.725
3.2388,20.0,4.137791286727457,1.0759878419452888,1637.0,1.6585612968591692,34.16,-118.39,2.563
4.45,15.0,5.047218628719276,1.036869340232859,2957.0,1.9126778783958602,37.93,-122.05,1.849
2.92,37.0,4.091139240506329,1.0658227848101265,650.0,1.6455696202531647,32.81,-117.26,3.265
2.6417,13.0,5.8215297450424925,1.1997167138810199,1796.0,2.543909348441926,38.2,-120.57,1.223
5.9714,35.0,6.23015873015873,1.0158730158730158,1248.0,3.3015873015873014,37.31,-122.02,3.325
3.1406,43.0,4.715883668903803,1.0201342281879195,1299.0,2.9060402684563758,37.76,-122.5,3.162
5.049,52.0,6.382470119521912,1.0557768924302788,667.0,2.6573705179282867,34.18,-118.29,3.235
4.8051,21.0,5.857142857142857,1.0533910533910533,1874.0,2.704184704184704,39.0,-121.04,1.743
4.5395,21.0,5.866253321523472,1.0664304694419842,3193.0,2.828166519043401,33.84,-118.04,2.56
2.8603,52.0,5.169082125603865,1.0821256038647342,567.0,2.739130434782609,37.73,-122.39,1.89
3.0,18.0,4.456140350877193,0.9122807017543859,393.0,3.4473684210526314,36.96,-120.16,1.563
4.3,34.0,5.990066225165563,1.0496688741721854,863.0,2.857615894039735,37.33,-121.94,3.305
4.6364,11.0,3.9457013574660635,0.918552036199095,422.0,1.909502262443439,33.82,-118.19,1.563
1.645,10.0,4.561752988047809,1.1673306772908367,726.0,2.8924302788844622,34.13,-117.23,0.687
3.4083,36.0,5.43298969072165,0.9896907216494846,832.0,2.859106529209622,38.53,-121.42,0.718
2.7284,26.0,6.004901960784314,0.9754901960784313,717.0,3.514705882352941,33.98,-117.6,2.25
3.6875,11.0,5.486486486486487,1.0994208494208495,3095.0,2.9874517374517375,34.08,-117.38,1.126
2.8125,39.0,6.766871165644171,1.0736196319018405,446.0,2.736196319018405,37.26,-121.93,2.913
3.7206,39.0,3.691891891891892,1.0135135135135136,1237.0,3.343243243243243,34.03,-118.39,2.309
3.4028,32.0,3.075892857142857,1.0982142857142858,1202.0,2.6830357142857144,33.84,-117.95,1.837
2.275,21.0,5.4574898785425106,1.1700404858299596,1208.0,2.445344129554656,41.95,-124.14,1.224
3.0,43.0,5.916334661354582,1.0756972111553784,653.0,2.601593625498008,38.44,-121.56,1.417
2.3229,16.0,5.205357142857143,1.0446428571428572,2372.0,3.5297619047619047,33.85,-117.28,1.18
2.3713,18.0,3.526605504587156,1.0293577981651376,1096.0,2.0110091743119267,37.35,-121.94,2.44
2.1354,29.0,5.096085409252669,1.0676156583629892,1314.0,2.3380782918149468,40.57,-124.14,0.751
2.83,22.0,6.1923076923076925,1.158371040723982,1168.0,2.6425339366515836,41.12,-121.47,0.887
3.1964,36.0,4.151724137931034,1.0344827586206897,645.0,4.448275862068965,33.92,-118.21,1.154
2.2969,17.0,4.930163447251115,1.1277860326894502,2016.0,2.9955423476968797,33.79,-117.23,0.893
2.6078,23.0,5.760299625468165,1.142322097378277,730.0,2.7340823970037453,38.42,-120.65,1.167
1.7574,43.0,4.410958904109589,1.1287671232876713,1409.0,3.8602739726027395,37.94,-121.26,0.517
3.0742,24.0,5.049468085106383,1.0292553191489362,5162.0,2.7457446808510637,38.06,-122.51,1.188
5.0508,32.0,7.575688073394495,1.1009174311926606,1185.0,2.717889908256881,38.59,-121.36,2.257
6.2742,20.0,7.055813953488372,1.0488372093023255,1669.0,3.8813953488372093,37.32,-121.79,2.413
3.6898,15.0,5.98292220113852,1.191650853889943,1633.0,3.098671726755218,32.86,-116.91,1.31
2.8542,52.0,5.457831325301205,0.9939759036144579,257.0,1.5481927710843373,38.56,-121.44,1.394
5.0653,35.0,5.602836879432624,0.9432624113475178,926.0,3.2836879432624113,33.93,-118.31,1.58
2.5804,16.0,3.7257861635220126,1.129559748427673,1555.0,1.9559748427672956,37.31,-121.91,2.163
2.8565,12.0,4.863881401617251,0.9595687331536388,2650.0,3.5714285714285716,37.73,-120.95,0.927
10.7339,35.0,8.570048309178745,0.9903381642512077,588.0,2.8405797101449277,37.57,-122.36,5.00001
2.2188,52.0,3.6040100250626566,1.1829573934837092,1018.0,2.5513784461152884,33.74,-118.29,3.067
2.1702,27.0,5.008196721311475,1.1098360655737705,1407.0,2.3065573770491805,35.12,-120.59,1.797
3.6681,34.0,5.326760563380281,0.9098591549295775,966.0,2.72112676056338,36.79,-119.71,0.82
12.3804,52.0,9.122715404699738,1.0339425587467364,1192.0,3.112271540469974,37.82,-122.23,5.00001
6.0198,16.0,7.344262295081967,0.9836065573770492,1221.0,4.00327868852459,37.23,-121.79,2.896
2.9321,14.0,4.778058007566204,1.021437578814628,2551.0,3.2168978562421184,34.02,-118.08,1.442
2.6302,33.0,6.071428571428571,1.1071428571428572,717.0,3.6581632653061225,35.27,-118.83,0.813
4.5766,18.0,6.088541666666667,0.96875,614.0,3.1979166666666665,38.56,-121.32,1.087
5.0782,28.0,5.747983870967742,1.0,1287.0,2.594758064516129,33.94,-117.95,2.641
4.5112,16.0,4.414285714285715,1.0114285714285713,730.0,2.085714285714286,33.84,-117.87,1.39
2.0714,18.0,5.813253012048193,1.144578313253012,1643.0,2.4743975903614457,36.31,-119.31,0.926
4.5062,20.0,4.336134453781512,0.9621848739495799,658.0,2.764705882352941,37.39,-121.96,2.193
5.9582,21.0,6.176938369781312,0.9602385685884692,1688.0,3.355864811133201,33.72,-117.95,2.88
2.8062,27.0,5.06544502617801,1.2041884816753927,1456.0,3.81151832460733,34.09,-118.15,1.928
2.6833,8.0,5.439024390243903,1.1280487804878048,427.0,2.6036585365853657,38.57,-120.72,1.188
5.8635,24.0,7.226315789473684,1.1394736842105264,1076.0,2.831578947368421,34.45,-119.79,3.487
7.2648,14.0,7.298913043478261,0.9510869565217391,650.0,3.532608695652174,33.51,-117.64,3.632
1.5132,28.0,2.567219152854512,1.0718232044198894,716.0,1.3186003683241252,34.02,-118.49,4.5
1.9233,41.0,3.4140127388535033,1.0541401273885351,1111.0,3.538216560509554,34.07,-118.28,2.071
1.9848,38.0,3.8285714285714287,1.1333333333333333,1535.0,2.9238095238095236,33.8,-118.19,1.604
1.9125,44.0,4.969230769230769,1.2197802197802199,1348.0,2.9626373626373628,33.98,-118.29,0.972
3.9699,14.0,5.375397667020149,1.0335807705903146,6301.0,2.2272887946270767,34.23,-118.96,2.17
3.1908,15.0,5.665768194070081,0.9649595687331537,957.0,2.579514824797844,40.26,-122.2,1.379
6.1324,20.0,8.220930232558139,1.3255813953488371,282.0,3.2790697674418605,37.54,-120.82,1.648
2.3365,34.0,4.46606334841629,1.1221719457013575,902.0,4.081447963800905,33.95,-118.27,0.98
3.5714,38.0,4.491176470588235,0.9764705882352941,1303.0,3.8323529411764707,34.28,-118.45,1.52
3.1765,52.0,4.119791666666667,1.0434027777777777,1135.0,1.9704861111111112,34.08,-118.36,2.25
5.979,19.0,6.860557768924303,1.0225763612217795,2374.0,3.152722443559097,33.91,-118.0,2.852
4.8214,21.0,6.690355329949239,1.0253807106598984,618.0,3.1370558375634516,37.32,-120.45,1.178
2.87,33.0,4.938095238095238,1.1333333333333333,911.0,2.169047619047619,33.94,-117.41,1.176
4.1375,43.0,5.070610687022901,1.0458015267175573,1145.0,2.185114503816794,33.99,-118.36,2.871
5.1145,34.0,5.1469194312796205,0.9636650868878357,1810.0,2.859399684044234,34.28,-118.31,2.199
3.6902,41.0,5.221311475409836,1.040983606557377,1290.0,2.6434426229508197,36.99,-122.01,2.33
5.3773,27.0,5.836330935251799,1.0881294964028776,1572.0,2.827338129496403,33.84,-118.37,3.79
1.7188,26.0,4.93646408839779,1.0055248618784531,1548.0,4.276243093922652,36.98,-120.65,0.495
3.7147,32.0,3.430913348946136,0.9754098360655737,5116.0,5.990632318501171,33.73,-117.9,1.641
1.1645,44.0,5.151943462897527,1.1519434628975265,1159.0,4.095406360424028,33.99,-118.3,0.982
6.5587,27.0,6.227642276422764,0.9214092140921409,1071.0,2.902439024390244,34.12,-117.65,2.39
1.6,39.0,3.747967479674797,1.048780487804878,381.0,3.097560975609756,37.79,-122.25,1.125
2.5517,52.0,5.845117845117845,1.2053872053872055,638.0,2.1481481481481484,38.05,-122.23,1.471
1.4375,48.0,5.017191977077364,1.1174785100286533,935.0,2.679083094555874,37.75,-122.17,0.9
3.7232,33.0,4.353474320241692,1.0181268882175227,1233.0,3.7250755287009065,33.76,-117.94,1.762
1.6125,52.0,3.135135135135135,1.364864864864865,286.0,1.9324324324324325,37.78,-122.4,1.125
8.7382,34.0,6.4421487603305785,1.0041322314049588,600.0,2.479338842975207,37.36,-122.22,5.00001
2.5313,36.0,6.261904761904762,1.7380952380952381,88.0,2.0952380952380953,38.15,-121.99,1.625
5.0353,12.0,4.6575539568345325,1.0553956834532374,2516.0,1.8100719424460432,37.56,-122.29,3.058
3.4821,34.0,4.757188498402556,1.0415335463258786,1389.0,4.437699680511182,34.29,-118.42,1.603
2.1889,29.0,4.548654244306419,1.0766045548654244,1374.0,2.8447204968944098,38.63,-121.47,0.693
3.3214,42.0,4.454828660436137,1.0529595015576323,1269.0,3.953271028037383,33.96,-118.04,1.488
4.4561,28.0,5.464367816091954,1.07816091954023,1068.0,2.4551724137931035,37.92,-122.08,2.5
1.6172,9.0,3.6578947368421053,0.9894736842105263,810.0,4.2631578947368425,37.29,-120.32,0.563
3.0043,6.0,5.724757952973721,1.0919778699861686,3062.0,2.1175656984785616,33.71,-117.02,1.347
2.0272,18.0,4.546985815602837,1.0381205673758864,3622.0,3.2109929078014185,37.68,-121.04,0.927
3.8194,25.0,6.180769230769231,1.0769230769230769,899.0,3.457692307692308,32.58,-117.07,1.344
2.4375,36.0,2.814814814814815,0.9601139601139601,1508.0,4.296296296296297,33.99,-118.18,1.548
4.5987,29.0,4.930894308943089,0.926829268292683,654.0,2.658536585365854,32.79,-117.2,2.556
6.6453,25.0,6.618249534450651,0.9832402234636871,1600.0,2.97951582867784,33.78,-118.03,2.701
3.125,16.0,5.380070546737214,1.0582010582010581,3407.0,3.004409171075838,36.8,-119.83,0.808
2.125,47.0,4.528052805280528,1.3036303630363035,1237.0,4.082508250825082,37.79,-122.24,0.955
4.1411,43.0,5.266798418972332,1.098814229249012,1015.0,2.005928853754941,34.06,-118.41,5.00001
2.375,26.0,6.48,1.08,86.0,3.44,37.65,-122.12,1.375
5.308,33.0,5.712250712250713,1.1168091168091168,1043.0,2.9715099715099713,34.44,-119.15,2.979
3.5179,36.0,6.013888888888889,0.9537037037037037,763.0,3.5324074074074074,34.05,-117.97,1.614
3.8304,35.0,5.647163120567376,0.9645390070921985,1858.0,3.2943262411347516,34.1,-117.89,1.759
3.725,35.0,4.114285714285714,1.0523809523809524,1161.0,2.7642857142857142,34.02,-118.41,3.1
2.3654,14.0,4.931623931623932,1.150997150997151,1269.0,3.6153846153846154,33.89,-117.58,1.079
4.7708,48.0,5.427777777777778,1.0777777777777777,446.0,2.477777777777778,37.77,-122.16,1.563
3.2596,36.0,5.288732394366197,1.0187793427230047,1018.0,2.3896713615023475,38.59,-121.38,0.987
4.6806,23.0,5.674418604651163,1.0518783542039356,1467.0,2.62432915921288,34.44,-119.81,2.889
1.7067,49.0,4.304878048780488,1.0152439024390243,901.0,2.7469512195121952,33.98,-118.32,1.186
5.8721,16.0,6.410187667560321,0.9892761394101877,1419.0,3.804289544235925,37.4,-121.86,2.678
3.625,45.0,4.917808219178082,1.2808219178082192,662.0,2.267123287671233,33.96,-118.39,3.294
2.6884,24.0,3.6370967741935485,1.0451612903225806,3985.0,3.213709677419355,34.08,-118.1,2.046
3.925,52.0,4.635944700460829,1.055299539170507,1314.0,3.0276497695852536,34.13,-118.19,1.804
1.4911,18.0,6.215859030837004,1.4537444933920705,494.0,2.1762114537444934,40.75,-122.31,0.758
3.1205,30.0,4.132530120481928,0.9718875502008032,753.0,3.0240963855421685,36.97,-122.0,2.405
0.4999,15.0,11.596491228070175,2.56140350877193,131.0,2.2982456140350878,40.43,-123.32,0.567
4.4239,16.0,4.896551724137931,1.1551724137931034,689.0,1.9798850574712643,37.9,-122.52,2.671
3.141,27.0,4.45,1.445,416.0,2.08,33.87,-117.96,1.675
2.6133,49.0,5.163755458515284,1.1004366812227073,1131.0,2.46943231441048,38.11,-122.25,1.031
4.4628,26.0,6.059561128526646,0.9905956112852664,1001.0,3.1379310344827585,34.65,-120.48,1.344
3.7422,16.0,5.042124542124542,1.054945054945055,857.0,1.5695970695970696,33.61,-117.74,2.298
2.2925,7.0,6.12907045589106,1.1882770870337478,3559.0,2.107164002368265,33.77,-116.99,1.131
2.8365,32.0,5.371900826446281,1.0606060606060606,1145.0,3.1542699724517904,38.76,-121.77,0.879
2.8106,26.0,4.1106719367588935,1.1067193675889329,2096.0,4.142292490118577,33.82,-118.3,1.844
1.91,46.0,5.0,1.0041322314049588,523.0,2.1611570247933884,39.36,-121.7,0.639
3.75,19.0,4.4731457800511505,1.0383631713554988,969.0,2.4782608695652173,33.84,-117.95,1.734
2.2083,47.0,5.167785234899329,1.0827740492170022,1126.0,2.519015659955257,37.5,-120.84,0.973
5.1064,16.0,4.142141863699583,1.1082058414464535,6270.0,1.7440890125173854,33.96,-118.43,2.832
2.7694,17.0,3.8629715165511933,1.1077752117013087,3069.0,2.3625866050808315,37.65,-122.08,1.619
4.0721,52.0,6.298076923076923,1.2644230769230769,689.0,3.3125,34.1,-118.26,3.5
2.2569,20.0,5.604,1.12,668.0,2.672,39.74,-122.13,0.943
7.9029,37.0,6.247572815533981,0.9563106796116505,510.0,2.4757281553398056,37.45,-122.13,5.00001
3.5781,44.0,5.262962962962963,1.1037037037037036,609.0,2.2555555555555555,37.71,-122.13,1.8
3.0081,5.0,4.699029126213592,1.1359223300970873,1302.0,2.1067961165048543,34.66,-120.46,1.352
4.4861,47.0,4.678466076696165,0.9498525073746312,1077.0,3.1769911504424777,33.96,-118.31,1.404
3.4233,29.0,4.263888888888889,1.077020202020202,1674.0,2.1136363636363638,37.34,-121.94,2.293
3.9091,38.0,5.9021739130434785,1.1875,830.0,2.255434782608696,34.02,-118.43,5.00001
3.5781,49.0,4.419437340153452,0.8951406649616368,1146.0,2.9309462915601023,37.35,-121.88,1.93
2.3464,30.0,4.141618497109826,1.1473988439306357,1110.0,3.208092485549133,34.08,-118.14,1.917
4.6611,16.0,5.840449438202247,0.9662921348314607,1417.0,3.1842696629213485,36.95,-121.82,3.493
2.6316,34.0,5.4120603015075375,1.2914572864321607,478.0,2.4020100502512562,34.14,-118.02,2.528
1.5076,24.0,3.192563081009296,1.0876494023904382,1566.0,2.0796812749003983,33.77,-118.2,1.458
1.9741,26.0,4.4135135135135135,1.027027027027027,890.0,2.4054054054054053,41.04,-124.1,0.979
2.7321,18.0,5.20258064516129,1.0296774193548388,1948.0,2.5135483870967743,40.9,-124.1,0.926
2.4545,23.0,5.404255319148936,0.9929078014184397,358.0,2.5390070921985815,38.19,-121.09,1.05
4.0417,23.0,10.639455782312925,2.0272108843537415,339.0,2.306122448979592,38.94,-119.98,0.993
2.6994,16.0,4.303411131059246,0.8994614003590664,1053.0,1.8904847396768403,38.01,-121.25,1.125
6.1509,20.0,6.492307692307692,1.0307692307692307,1008.0,3.1015384615384614,33.06,-117.29,3.387
1.7159,43.0,4.121580547112462,1.012158054711246,796.0,2.419452887537994,34.02,-118.36,1.897
3.1731,47.0,3.958904109589041,1.0342465753424657,1272.0,2.904109589041096,34.03,-118.32,1.215
4.8152,21.0,6.349072512647555,1.0320404721753795,1722.0,2.903878583473862,33.19,-117.21,2.185
4.2296,35.0,4.598790322580645,1.0201612903225807,1005.0,2.026209677419355,32.8,-117.25,2.75
1.6685,28.0,3.7382075471698113,0.9716981132075472,1362.0,3.2122641509433962,38.43,-122.7,1.141
6.7257,37.0,6.912650602409639,1.0,933.0,2.8102409638554215,37.45,-122.13,5.00001
5.1002,30.0,5.50199203187251,1.1812749003984064,1581.0,3.149402390438247,37.24,-122.27,3.194
2.1549,22.0,5.0224586288416075,1.0898345153664302,2405.0,2.842789598108747,33.81,-117.26,1.465
5.7248,39.0,7.679775280898877,1.1713483146067416,1782.0,2.502808988764045,36.55,-121.91,3.988
2.6563,26.0,4.29489291598023,1.1235584843492588,1401.0,2.3080724876441514,37.68,-122.08,1.841
1.9832,26.0,4.92814371257485,1.06187624750499,1068.0,2.1317365269461077,34.16,-117.28,1.221
3.3871,3.0,5.4960686204431735,1.104360257326662,3804.0,2.719085060757684,34.49,-117.29,1.118
6.0358,32.0,5.475352112676056,1.0105633802816902,779.0,2.742957746478873,37.25,-121.93,2.601
4.0,4.0,5.268041237113402,1.0738831615120275,1164.0,2.0,33.16,-117.23,2.281
1.24,24.0,2.967984934086629,1.0922787193973635,1630.0,3.0696798493408664,34.41,-119.86,3.25
4.1379,22.0,4.683168316831683,1.0940594059405941,1015.0,2.512376237623762,33.8,-118.06,2.125
3.0694,44.0,5.385852090032154,1.0192926045016077,806.0,2.5916398713826365,37.95,-122.34,1.353
4.0833,41.0,6.598591549295775,1.1126760563380282,396.0,2.788732394366197,36.06,-119.0,0.813
1.7756,19.0,5.009708737864078,1.0323624595469256,1227.0,3.970873786407767,37.28,-120.47,0.733
6.6312,31.0,6.791332263242376,0.9903691813804173,1694.0,2.7191011235955056,33.79,-118.09,3.601
3.3785,44.0,4.395833333333333,1.109375,1605.0,4.1796875,34.09,-118.18,1.849
6.005,30.0,6.657794676806084,1.0228136882129277,731.0,2.779467680608365,37.7,-122.09,2.639
8.1124,52.0,6.6231884057971016,1.0193236714975846,1153.0,2.785024154589372,34.11,-118.14,5.00001
5.249,52.0,5.904255319148936,0.9929078014184397,656.0,2.326241134751773,33.73,-118.31,3.519
11.5199,3.0,7.682926829268292,0.9349593495934959,337.0,2.7398373983739837,33.69,-118.01,5.00001
3.0293,28.0,3.9799764428739692,1.0812720848056536,1849.0,2.177856301531213,32.8,-117.23,2.417
2.4929,15.0,4.171428571428572,1.0461538461538462,1766.0,3.8813186813186813,33.87,-117.87,1.585
2.8097,11.0,5.621559633027523,1.1330275229357798,3571.0,2.7301223241590216,34.86,-118.34,1.3
1.9946,31.0,4.265993265993266,1.0740740740740742,545.0,1.835016835016835,38.32,-122.27,2.068
6.2503,2.0,8.408163265306122,1.1884353741496598,4438.0,3.019047619047619,38.66,-121.13,2.225
1.9423,22.0,2.6218487394957983,0.8991596638655462,583.0,4.899159663865547,33.9,-118.22,0.984
6.822,41.0,4.982352941176471,1.0176470588235293,344.0,2.023529411764706,33.87,-118.43,5.00001
1.8444,20.0,5.059850374064838,1.0648379052369077,983.0,2.451371571072319,36.97,-120.05,0.471
2.9489,39.0,5.4125874125874125,1.1293706293706294,815.0,2.8496503496503496,38.99,-122.0,0.675
2.8448,31.0,4.356807511737089,0.9976525821596244,795.0,1.8661971830985915,34.15,-118.43,3.606
1.8242,18.0,5.945859872611465,1.3503184713375795,802.0,2.554140127388535,41.95,-122.64,0.535
5.1155,34.0,5.43213728549142,0.9578783151326054,2227.0,3.4742589703588145,33.81,-118.02,2.009
4.38,40.0,5.8164794007490634,0.947565543071161,724.0,2.7116104868913857,37.68,-122.12,1.964
4.1316,52.0,5.174647887323943,0.9661971830985916,711.0,2.0028169014084507,34.44,-119.71,4.43
3.0114,16.0,7.8474576271186445,1.6016949152542372,238.0,2.016949152542373,33.68,-116.25,3.667
8.9021,18.0,7.283783783783784,1.0405405405405406,555.0,2.5,37.37,-122.12,5.00001
